Cultura,Quantidade_a_ser_Plantada_Toneladas,Producao_Total_Toneladas,Tipo_de_Solo,Tipo_de_Irrigacao,Frequencia_Irrigacao,Temperatura_Media,Fertilizante,Pragas,Rotacao_de_Culturas,Tecnologia_Utilizada
Café,52,213.2,Argila,Sulcos,Mensal,31,Nitrogênio,Fungos,Não,Alto
Café,93,288.3,Silte,Sulcos,Semanal,25,Composto,Fungos,Sim,Baixo
Soja,15,52.5,Argila,Sulcos,Semanal,29,Composto,Ferrugem,Não,Baixo
Arroz,72,252.0,Silte,Sulcos,Mensal,25,Orgânico,Insetos,Não,Alto
Milho,61,231.79999999999998,Areia,Sulcos,Diária,30,Composto,Insetos,Não,Baixo
Soja,21,77.7,Silte,Sulcos,Mensal,25,Composto,Nenhuma,Não,Médio
Café,83,257.3,Silte,Gotejamento,Diária,18,Composto,Ferrugem,Sim,Alto
Trigo,87,278.40000000000003,Areia,Gotejamento,Diária,24,Composto,Ferrugem,Sim,Baixo
Café,75,240.0,Areia,Sulcos,Mensal,22,Composto,Ferrugem,Sim,Alto
Milho,75,277.5,Areia,Aspersão,Mensal,32,Orgânico,Ferrugem,Sim,Baixo
Soja,88,378.4,Argila,Aspersão,Diária,33,Orgânico,Insetos,Não,Médio
Café,24,76.80000000000001,Argila,Aspersão,Diária,19,Composto,Insetos,Sim,Alto
Milho,3,12.0,Areia,Gotejamento,Diária,27,Orgânico,Fungos,Não,Alto
Trigo,22,57.2,Areia,Gotejamento,Mensal,19,Fósforo,Insetos,Sim,Médio
Soja,53,174.9,Areia,Gotejamento,Mensal,26,Fósforo,Fungos,Sim,Médio
Café,2,9.2,Silte,Aspersão,Diária,33,Nitrogênio,Insetos,Sim,Alto
Arroz,88,246.39999999999998,Argila,Gotejamento,Diária,18,Composto,Insetos,Não,Médio
Soja,30,96.0,Areia,Gotejamento,Mensal,22,Nitrogênio,Ferrugem,Sim,Alto
Soja,38,148.2,Argila,Aspersão,Diária,31,Composto,Ferrugem,Sim,Baixo
Soja,2,6.4,Argila,Sulcos,Semanal,19,Orgânico,Nenhuma,Não,Médio
Soja,64,204.8,Areia,Gotejamento,Diária,19,Fósforo,Insetos,Sim,Alto
Soja,60,234.0,Areia,Gotejamento,Semanal,28,Composto,Nenhuma,Sim,Baixo
Café,21,56.7,Areia,Aspersão,Mensal,22,Orgânico,Insetos,Não,Baixo
Milho,33,82.5,Argila,Aspersão,Mensal,18,Fósforo,Fungos,Não,Médio
Milho,76,296.4,Silte,Sulcos,Mensal,29,Composto,Insetos,Não,Alto
Milho,58,197.20000000000002,Argila,Sulcos,Semanal,26,Fósforo,Ferrugem,Sim,Médio
Trigo,22,81.4,Argila,Aspersão,Diária,24,Orgânico,Nenhuma,Sim,Baixo
Arroz,89,364.9,Silte,Sulcos,Semanal,33,Composto,Fungos,Não,Médio
Café,49,166.6,Silte,Gotejamento,Mensal,29,Nitrogênio,Insetos,Não,Baixo
Milho,91,254.79999999999998,Silte,Sulcos,Diária,18,Composto,Ferrugem,Sim,Médio
Trigo,59,259.6,Silte,Sulcos,Semanal,33,Nitrogênio,Fungos,Sim,Alto
Soja,42,126.0,Areia,Gotejamento,Mensal,23,Fósforo,Insetos,Não,Médio
Arroz,92,331.2,Argila,Gotejamento,Semanal,25,Fósforo,Nenhuma,Não,Baixo
Trigo,60,234.0,Argila,Aspersão,Diária,26,Fósforo,Insetos,Não,Alto
Soja,80,320.0,Argila,Sulcos,Mensal,28,Composto,Nenhuma,Sim,Médio
Arroz,15,48.0,Argila,Gotejamento,Semanal,21,Nitrogênio,Nenhuma,Sim,Baixo
Arroz,62,210.79999999999998,Argila,Aspersão,Diária,24,Nitrogênio,Fungos,Sim,Médio
Trigo,62,248.0,Areia,Sulcos,Mensal,33,Composto,Fungos,Não,Médio
Trigo,47,211.5,Areia,Gotejamento,Mensal,33,Composto,Nenhuma,Não,Médio
Milho,62,223.20000000000002,Argila,Gotejamento,Semanal,30,Composto,Insetos,Sim,Baixo
Café,51,224.4,Areia,Sulcos,Diária,31,Fósforo,Ferrugem,Não,Alto
Soja,55,192.5,Argila,Sulcos,Diária,22,Nitrogênio,Fungos,Sim,Alto
Café,64,217.6,Silte,Sulcos,Semanal,23,Orgânico,Insetos,Não,Alto
Café,3,11.399999999999999,Silte,Sulcos,Mensal,28,Composto,Nenhuma,Não,Baixo
Café,51,224.4,Areia,Sulcos,Mensal,29,Composto,Nenhuma,Não,Alto
Trigo,7,28.699999999999996,Argila,Gotejamento,Mensal,26,Composto,Nenhuma,Não,Alto
Milho,21,56.7,Argila,Sulcos,Mensal,22,Fósforo,Fungos,Sim,Baixo
Arroz,73,240.89999999999998,Silte,Sulcos,Diária,25,Nitrogênio,Ferrugem,Não,Baixo
Milho,39,183.3,Silte,Aspersão,Mensal,35,Orgânico,Nenhuma,Sim,Médio
Arroz,18,75.60000000000001,Areia,Aspersão,Mensal,35,Composto,Fungos,Sim,Médio
Soja,4,14.8,Argila,Aspersão,Semanal,26,Fósforo,Ferrugem,Sim,Alto
Arroz,89,382.7,Argila,Aspersão,Diária,30,Fósforo,Ferrugem,Não,Alto
Café,60,168.0,Argila,Aspersão,Diária,18,Orgânico,Fungos,Não,Médio
Milho,14,39.199999999999996,Silte,Aspersão,Diária,18,Nitrogênio,Insetos,Não,Médio
Arroz,9,29.700000000000003,Silte,Aspersão,Mensal,26,Nitrogênio,Ferrugem,Sim,Médio
Soja,90,315.0,Argila,Gotejamento,Diária,22,Orgânico,Nenhuma,Não,Baixo
Arroz,53,243.79999999999998,Argila,Aspersão,Semanal,33,Nitrogênio,Nenhuma,Sim,Médio
Soja,2,5.8,Silte,Sulcos,Diária,19,Orgânico,Fungos,Sim,Médio
Trigo,84,394.8,Silte,Aspersão,Mensal,35,Orgânico,Nenhuma,Sim,Médio
Trigo,92,386.40000000000003,Argila,Aspersão,Diária,24,Fósforo,Nenhuma,Sim,Alto
Café,60,180.0,Silte,Aspersão,Semanal,24,Orgânico,Fungos,Sim,Baixo
Soja,71,269.8,Argila,Gotejamento,Diária,25,Fósforo,Insetos,Não,Alto
Arroz,44,167.2,Argila,Aspersão,Semanal,25,Nitrogênio,Nenhuma,Não,Médio
Café,8,19.2,Silte,Gotejamento,Semanal,18,Composto,Insetos,Sim,Baixo
Trigo,47,183.29999999999998,Argila,Aspersão,Mensal,32,Fósforo,Insetos,Sim,Médio
Arroz,35,164.5,Areia,Sulcos,Semanal,34,Fósforo,Nenhuma,Sim,Médio
Trigo,78,234.0,Silte,Aspersão,Mensal,23,Nitrogênio,Ferrugem,Sim,Médio
Trigo,81,405.0,Argila,Gotejamento,Diária,35,Orgânico,Nenhuma,Sim,Médio
Milho,36,140.4,Areia,Gotejamento,Semanal,26,Fósforo,Nenhuma,Não,Médio
Soja,50,215.0,Argila,Aspersão,Mensal,33,Fósforo,Ferrugem,Não,Alto
Arroz,4,12.0,Silte,Sulcos,Mensal,20,Orgânico,Nenhuma,Não,Baixo
Soja,2,9.0,Argila,Sulcos,Diária,32,Orgânico,Fungos,Sim,Alto
Café,6,19.8,Areia,Aspersão,Semanal,25,Orgânico,Insetos,Sim,Médio
Arroz,54,216.0,Areia,Sulcos,Semanal,32,Nitrogênio,Ferrugem,Não,Médio
Milho,4,14.4,Silte,Gotejamento,Diária,21,Orgânico,Nenhuma,Sim,Médio
Soja,54,199.8,Argila,Gotejamento,Semanal,31,Fósforo,Ferrugem,Sim,Baixo
Milho,93,362.7,Areia,Gotejamento,Semanal,33,Orgânico,Fungos,Sim,Baixo
Arroz,63,207.89999999999998,Silte,Gotejamento,Mensal,28,Nitrogênio,Fungos,Não,Baixo
Soja,18,90.0,Argila,Aspersão,Mensal,35,Fósforo,Nenhuma,Sim,Alto
Café,90,243.00000000000003,Argila,Sulcos,Diária,19,Nitrogênio,Insetos,Não,Baixo
Soja,44,123.19999999999999,Areia,Sulcos,Mensal,18,Orgânico,Fungos,Não,Alto
Milho,34,136.0,Silte,Aspersão,Diária,27,Orgânico,Nenhuma,Não,Baixo
Trigo,74,281.2,Argila,Gotejamento,Semanal,30,Orgânico,Insetos,Sim,Médio
Arroz,62,198.4,Areia,Sulcos,Diária,22,Fósforo,Insetos,Sim,Médio
Soja,14,56.0,Silte,Gotejamento,Diária,32,Nitrogênio,Fungos,Não,Baixo
Café,95,380.0,Argila,Aspersão,Mensal,35,Composto,Fungos,Sim,Baixo
Arroz,48,129.60000000000002,Areia,Sulcos,Semanal,21,Nitrogênio,Fungos,Não,Baixo
Soja,15,46.5,Argila,Aspersão,Mensal,21,Composto,Ferrugem,Não,Alto
Milho,72,180.0,Argila,Sulcos,Mensal,20,Nitrogênio,Ferrugem,Não,Baixo
Soja,78,343.20000000000005,Silte,Sulcos,Diária,31,Nitrogênio,Insetos,Sim,Alto
Trigo,87,356.70000000000005,Argila,Aspersão,Diária,26,Fósforo,Nenhuma,Sim,Médio
Café,62,223.20000000000002,Silte,Aspersão,Mensal,29,Fósforo,Fungos,Sim,Médio
Milho,40,124.0,Silte,Gotejamento,Mensal,24,Composto,Fungos,Sim,Médio
Café,85,221.0,Argila,Aspersão,Semanal,18,Orgânico,Ferrugem,Não,Médio
Soja,80,304.0,Areia,Sulcos,Semanal,30,Orgânico,Ferrugem,Não,Médio
Café,82,311.59999999999997,Silte,Aspersão,Semanal,30,Orgânico,Insetos,Não,Médio
Soja,53,174.89999999999998,Areia,Sulcos,Diária,20,Composto,Insetos,Sim,Alto
Trigo,24,98.39999999999999,Silte,Gotejamento,Mensal,26,Fósforo,Nenhuma,Sim,Alto
Arroz,26,106.6,Silte,Aspersão,Semanal,25,Fósforo,Nenhuma,Sim,Alto
Trigo,89,356.0,Argila,Aspersão,Diária,32,Orgânico,Ferrugem,Sim,Baixo
Arroz,60,210.0,Areia,Sulcos,Semanal,29,Composto,Fungos,Não,Baixo
Trigo,41,123.0,Silte,Gotejamento,Diária,22,Composto,Fungos,Sim,Baixo
Café,29,147.89999999999998,Argila,Gotejamento,Semanal,35,Orgânico,Nenhuma,Sim,Alto
Arroz,15,69.0,Argila,Sulcos,Semanal,35,Nitrogênio,Ferrugem,Sim,Alto
Soja,45,130.5,Argila,Sulcos,Diária,19,Orgânico,Insetos,Sim,Médio
Café,65,240.5,Argila,Sulcos,Semanal,29,Nitrogênio,Ferrugem,Não,Médio
Trigo,89,267.0,Areia,Gotejamento,Mensal,23,Nitrogênio,Insetos,Não,Médio
Trigo,71,284.0,Argila,Gotejamento,Mensal,35,Fósforo,Ferrugem,Sim,Baixo
Arroz,9,34.199999999999996,Areia,Gotejamento,Diária,28,Nitrogênio,Insetos,Não,Médio
Milho,88,308.0,Argila,Sulcos,Mensal,25,Fósforo,Fungos,Sim,Alto
Soja,1,3.4,Argila,Sulcos,Diária,24,Nitrogênio,Ferrugem,Sim,Médio
Milho,8,35.2,Areia,Sulcos,Diária,34,Composto,Insetos,Não,Médio
Café,88,396.0,Areia,Aspersão,Semanal,29,Composto,Nenhuma,Sim,Alto
Café,63,233.10000000000002,Silte,Aspersão,Mensal,30,Composto,Insetos,Sim,Médio
Soja,11,52.8,Silte,Sulcos,Diária,35,Composto,Insetos,Sim,Alto
Café,81,315.9,Silte,Gotejamento,Semanal,28,Orgânico,Fungos,Sim,Alto
Milho,8,28.0,Areia,Aspersão,Mensal,28,Nitrogênio,Insetos,Não,Médio
Trigo,35,129.5,Areia,Gotejamento,Diária,27,Nitrogênio,Ferrugem,Não,Médio
Soja,35,94.5,Argila,Sulcos,Semanal,21,Fósforo,Ferrugem,Não,Baixo
Milho,33,151.79999999999998,Silte,Gotejamento,Diária,33,Orgânico,Ferrugem,Não,Alto
Trigo,5,13.5,Argila,Aspersão,Mensal,22,Composto,Ferrugem,Sim,Baixo
Soja,41,127.10000000000001,Argila,Gotejamento,Semanal,18,Fósforo,Nenhuma,Sim,Médio
Milho,28,109.2,Silte,Gotejamento,Semanal,31,Fósforo,Fungos,Sim,Médio
Milho,7,34.300000000000004,Argila,Gotejamento,Mensal,34,Nitrogênio,Nenhuma,Não,Alto
Arroz,73,292.0,Silte,Gotejamento,Semanal,32,Orgânico,Fungos,Não,Médio
Soja,72,266.40000000000003,Silte,Sulcos,Diária,29,Composto,Fungos,Sim,Baixo
Milho,12,51.599999999999994,Argila,Sulcos,Diária,25,Fósforo,Nenhuma,Sim,Alto
Milho,34,98.60000000000001,Argila,Aspersão,Mensal,22,Nitrogênio,Ferrugem,Não,Médio
Arroz,33,115.5,Silte,Gotejamento,Diária,22,Composto,Nenhuma,Não,Baixo
Café,48,201.60000000000002,Argila,Aspersão,Mensal,32,Fósforo,Insetos,Não,Alto
Milho,23,78.2,Areia,Gotejamento,Semanal,23,Fósforo,Insetos,Não,Alto
Trigo,62,198.4,Argila,Sulcos,Mensal,22,Fósforo,Nenhuma,Não,Baixo
Milho,88,325.6,Areia,Sulcos,Mensal,30,Composto,Fungos,Sim,Médio
Soja,37,148.0,Silte,Gotejamento,Semanal,24,Composto,Nenhuma,Não,Alto
Café,99,267.3,Areia,Gotejamento,Semanal,19,Fósforo,Ferrugem,Sim,Médio
Soja,44,189.2,Argila,Aspersão,Mensal,31,Composto,Nenhuma,Sim,Médio
Café,86,258.0,Silte,Gotejamento,Mensal,20,Fósforo,Ferrugem,Não,Alto
Milho,91,318.5,Argila,Gotejamento,Semanal,24,Nitrogênio,Nenhuma,Sim,Baixo
Café,35,157.5,Argila,Aspersão,Diária,27,Fósforo,Nenhuma,Sim,Alto
Trigo,65,286.0,Silte,Gotejamento,Mensal,34,Nitrogênio,Ferrugem,Não,Alto
Arroz,99,396.0,Areia,Aspersão,Semanal,34,Composto,Ferrugem,Sim,Baixo
Soja,47,225.6,Argila,Aspersão,Diária,35,Nitrogênio,Ferrugem,Sim,Alto
Soja,78,234.0,Argila,Aspersão,Mensal,18,Orgânico,Nenhuma,Sim,Médio
Trigo,3,9.9,Areia,Sulcos,Semanal,27,Fósforo,Fungos,Não,Baixo
Soja,1,3.1,Silte,Sulcos,Semanal,25,Composto,Fungos,Não,Baixo
Trigo,5,16.5,Areia,Aspersão,Semanal,22,Orgânico,Fungos,Não,Alto
Milho,90,324.0,Silte,Sulcos,Diária,23,Fósforo,Insetos,Não,Alto
Trigo,14,42.0,Areia,Aspersão,Semanal,19,Fósforo,Insetos,Não,Alto
Café,27,102.6,Silte,Aspersão,Semanal,27,Orgânico,Nenhuma,Sim,Baixo
Café,9,26.099999999999998,Areia,Aspersão,Semanal,18,Orgânico,Insetos,Sim,Alto
Milho,79,300.2,Silte,Gotejamento,Diária,25,Composto,Fungos,Sim,Alto
Soja,15,51.0,Silte,Gotejamento,Diária,21,Fósforo,Nenhuma,Sim,Baixo
Trigo,90,234.0,Areia,Aspersão,Mensal,19,Composto,Fungos,Não,Médio
Trigo,42,180.6,Silte,Sulcos,Diária,30,Orgânico,Fungos,Não,Alto
Arroz,77,292.59999999999997,Areia,Aspersão,Diária,25,Nitrogênio,Insetos,Sim,Alto
Arroz,51,193.79999999999998,Areia,Sulcos,Mensal,28,Fósforo,Insetos,Sim,Alto
Soja,63,189.0,Areia,Aspersão,Mensal,25,Orgânico,Ferrugem,Não,Baixo
Soja,96,288.0,Argila,Gotejamento,Mensal,23,Fósforo,Insetos,Sim,Médio
Milho,52,197.6,Argila,Gotejamento,Mensal,33,Fósforo,Ferrugem,Não,Baixo
Trigo,96,336.0,Silte,Sulcos,Mensal,23,Nitrogênio,Nenhuma,Sim,Médio
Milho,4,12.0,Silte,Aspersão,Semanal,19,Composto,Nenhuma,Não,Baixo
Café,94,441.8,Silte,Aspersão,Mensal,32,Composto,Nenhuma,Não,Alto
Milho,23,64.4,Areia,Gotejamento,Mensal,21,Nitrogênio,Fungos,Não,Médio
Arroz,15,67.5,Areia,Sulcos,Semanal,34,Orgânico,Fungos,Não,Alto
Café,43,180.59999999999997,Silte,Sulcos,Semanal,26,Orgânico,Nenhuma,Não,Alto
Milho,29,104.4,Argila,Sulcos,Mensal,29,Composto,Insetos,Não,Médio
Arroz,36,133.20000000000002,Silte,Sulcos,Semanal,31,Composto,Insetos,Não,Baixo
Soja,13,53.3,Silte,Aspersão,Diária,28,Fósforo,Nenhuma,Sim,Baixo
Milho,32,124.8,Argila,Gotejamento,Mensal,29,Fósforo,Insetos,Sim,Alto
Arroz,71,205.9,Areia,Aspersão,Diária,21,Orgânico,Ferrugem,Não,Baixo
Trigo,59,247.79999999999995,Argila,Sulcos,Semanal,26,Orgânico,Nenhuma,Não,Alto
Arroz,86,387.0,Silte,Aspersão,Mensal,30,Fósforo,Nenhuma,Sim,Alto
Arroz,28,81.2,Argila,Gotejamento,Semanal,18,Orgânico,Fungos,Sim,Alto
Trigo,66,211.20000000000002,Argila,Sulcos,Mensal,22,Fósforo,Insetos,Não,Alto
Soja,42,138.60000000000002,Areia,Aspersão,Mensal,26,Orgânico,Insetos,Sim,Médio
Arroz,45,130.50000000000003,Argila,Aspersão,Semanal,21,Nitrogênio,Ferrugem,Sim,Médio
Milho,62,173.6,Silte,Sulcos,Diária,20,Fósforo,Insetos,Sim,Baixo
Café,57,233.7,Silte,Gotejamento,Mensal,31,Fósforo,Insetos,Sim,Alto
Milho,6,19.200000000000003,Areia,Aspersão,Diária,22,Nitrogênio,Insetos,Sim,Médio
Soja,28,98.0,Silte,Sulcos,Semanal,24,Composto,Insetos,Não,Alto
Trigo,28,86.8,Silte,Sulcos,Diária,21,Nitrogênio,Ferrugem,Sim,Médio
Café,44,162.8,Silte,Gotejamento,Mensal,27,Nitrogênio,Insetos,Sim,Alto
Trigo,84,344.4,Areia,Aspersão,Mensal,31,Nitrogênio,Ferrugem,Sim,Alto
Café,30,99.0,Areia,Gotejamento,Mensal,18,Fósforo,Nenhuma,Sim,Alto
Soja,62,210.79999999999998,Silte,Sulcos,Semanal,23,Orgânico,Fungos,Sim,Alto
Arroz,75,300.0,Argila,Sulcos,Mensal,30,Nitrogênio,Nenhuma,Sim,Baixo
Milho,92,349.59999999999997,Silte,Aspersão,Semanal,22,Nitrogênio,Nenhuma,Sim,Alto
Milho,89,373.8,Silte,Sulcos,Diária,32,Composto,Ferrugem,Sim,Médio
Soja,62,167.4,Areia,Aspersão,Mensal,20,Fósforo,Fungos,Sim,Médio
Café,97,407.40000000000003,Argila,Gotejamento,Mensal,30,Fósforo,Nenhuma,Não,Médio
Soja,1,4.2,Areia,Aspersão,Diária,32,Fósforo,Ferrugem,Sim,Médio
Trigo,27,89.1,Argila,Sulcos,Diária,20,Composto,Insetos,Sim,Alto
Milho,62,241.79999999999998,Silte,Aspersão,Mensal,34,Composto,Ferrugem,Não,Baixo
Trigo,77,246.4,Argila,Sulcos,Semanal,26,Orgânico,Insetos,Sim,Baixo
Trigo,3,10.8,Silte,Aspersão,Diária,26,Fósforo,Ferrugem,Não,Médio
Café,70,266.0,Silte,Sulcos,Semanal,25,Nitrogênio,Nenhuma,Sim,Médio
Soja,72,302.40000000000003,Silte,Gotejamento,Mensal,27,Nitrogênio,Nenhuma,Sim,Alto
Arroz,27,78.30000000000001,Silte,Aspersão,Mensal,22,Nitrogênio,Ferrugem,Sim,Médio
Café,9,32.4,Argila,Sulcos,Diária,28,Fósforo,Fungos,Sim,Baixo
Café,62,254.2,Silte,Aspersão,Diária,31,Orgânico,Fungos,Não,Médio
Arroz,37,92.5,Argila,Sulcos,Mensal,20,Fósforo,Fungos,Sim,Baixo
Soja,97,261.90000000000003,Areia,Gotejamento,Mensal,22,Nitrogênio,Fungos,Sim,Baixo
Café,51,142.79999999999998,Areia,Gotejamento,Mensal,18,Fósforo,Ferrugem,Não,Alto
Café,44,110.0,Silte,Aspersão,Semanal,19,Orgânico,Fungos,Não,Baixo
Milho,24,96.0,Areia,Gotejamento,Semanal,32,Composto,Ferrugem,Sim,Médio
Milho,79,323.90000000000003,Silte,Sulcos,Mensal,34,Composto,Insetos,Sim,Médio
Soja,59,224.2,Areia,Gotejamento,Mensal,33,Orgânico,Insetos,Não,Baixo
Soja,32,102.4,Areia,Gotejamento,Diária,19,Composto,Ferrugem,Não,Alto
Milho,96,336.00000000000006,Areia,Aspersão,Semanal,22,Composto,Nenhuma,Sim,Médio
Soja,88,343.2,Silte,Gotejamento,Diária,29,Fósforo,Fungos,Não,Médio
Arroz,52,150.79999999999998,Silte,Gotejamento,Diária,19,Nitrogênio,Insetos,Não,Médio
Arroz,62,198.4,Areia,Aspersão,Semanal,26,Composto,Fungos,Não,Baixo
Café,58,249.39999999999998,Argila,Sulcos,Mensal,31,Fósforo,Nenhuma,Sim,Médio
Café,52,171.60000000000002,Argila,Aspersão,Semanal,22,Composto,Fungos,Não,Alto
Café,12,43.2,Silte,Aspersão,Mensal,26,Fósforo,Ferrugem,Sim,Alto
Café,39,152.1,Argila,Sulcos,Mensal,32,Nitrogênio,Insetos,Sim,Médio
Trigo,2,7.0,Argila,Aspersão,Mensal,28,Nitrogênio,Ferrugem,Sim,Médio
Arroz,3,11.100000000000001,Argila,Gotejamento,Mensal,32,Orgânico,Ferrugem,Não,Baixo
Trigo,56,212.79999999999998,Areia,Sulcos,Mensal,33,Nitrogênio,Fungos,Sim,Baixo
Arroz,81,356.40000000000003,Areia,Sulcos,Mensal,32,Orgânico,Nenhuma,Não,Médio
Soja,59,165.20000000000002,Argila,Gotejamento,Mensal,21,Nitrogênio,Ferrugem,Não,Médio
Café,2,8.6,Areia,Aspersão,Diária,35,Fósforo,Insetos,Não,Baixo
Milho,2,6.0,Argila,Gotejamento,Mensal,20,Composto,Fungos,Sim,Alto
Milho,92,312.8,Argila,Gotejamento,Diária,24,Composto,Ferrugem,Sim,Médio
Arroz,54,156.6,Silte,Sulcos,Diária,19,Orgânico,Insetos,Sim,Médio
Milho,87,269.7,Areia,Aspersão,Mensal,21,Composto,Fungos,Sim,Alto
Café,96,278.40000000000003,Areia,Aspersão,Semanal,21,Orgânico,Ferrugem,Sim,Médio
Soja,97,310.40000000000003,Areia,Sulcos,Semanal,21,Nitrogênio,Fungos,Sim,Alto
Soja,1,3.8,Areia,Gotejamento,Mensal,28,Composto,Ferrugem,Sim,Alto
Milho,19,91.2,Silte,Aspersão,Diária,33,Nitrogênio,Nenhuma,Sim,Médio
Milho,2,8.0,Argila,Sulcos,Mensal,30,Composto,Ferrugem,Sim,Alto
Arroz,53,180.2,Silte,Sulcos,Diária,21,Orgânico,Ferrugem,Sim,Alto
Café,44,162.8,Areia,Sulcos,Mensal,32,Orgânico,Fungos,Sim,Baixo
Arroz,90,324.0,Areia,Aspersão,Mensal,31,Orgânico,Fungos,Sim,Baixo
Soja,32,156.8,Argila,Gotejamento,Semanal,33,Composto,Nenhuma,Sim,Alto
Milho,70,245.0,Areia,Sulcos,Mensal,25,Composto,Fungos,Não,Alto
Milho,32,121.6,Areia,Aspersão,Semanal,22,Orgânico,Nenhuma,Não,Alto
Milho,68,272.0,Areia,Aspersão,Mensal,30,Nitrogênio,Fungos,Sim,Alto
Café,55,181.50000000000003,Argila,Aspersão,Semanal,27,Composto,Insetos,Não,Baixo
Arroz,75,300.0,Silte,Gotejamento,Mensal,33,Fósforo,Ferrugem,Sim,Médio
Soja,56,218.4,Areia,Aspersão,Semanal,31,Composto,Fungos,Sim,Médio
Soja,17,57.8,Argila,Aspersão,Mensal,24,Fósforo,Insetos,Sim,Alto
Soja,38,121.60000000000001,Argila,Aspersão,Mensal,20,Composto,Nenhuma,Não,Médio
Café,24,98.39999999999999,Silte,Sulcos,Mensal,31,Orgânico,Nenhuma,Sim,Baixo
Milho,69,296.7,Silte,Sulcos,Mensal,33,Nitrogênio,Insetos,Sim,Alto
Café,98,411.5999999999999,Argila,Sulcos,Semanal,26,Fósforo,Nenhuma,Sim,Alto
Milho,70,287.0,Silte,Gotejamento,Diária,31,Orgânico,Ferrugem,Não,Médio
Café,86,361.19999999999993,Argila,Gotejamento,Semanal,26,Nitrogênio,Nenhuma,Sim,Alto
Soja,11,51.7,Areia,Sulcos,Diária,34,Fósforo,Ferrugem,Não,Alto
