Cultura,Quantidade_a_ser_Plantada_Toneladas,Producao_Total_Toneladas,Tipo_de_Solo,Tipo_de_Irrigacao,Frequencia_Irrigacao,Temperatura_Media,Fertilizante,Pragas,Rotacao_de_Culturas,Tecnologia_Utilizada
Arroz,16,49.6,Argila,Sulcos,Diária,18,Orgânico,Insetos,Sim,Alto
Café,97,320.09999999999997,Areia,Aspersão,Mensal,23,Composto,Ferrugem,Não,Alto
Soja,73,328.5,Areia,Sulcos,Semanal,34,Fósforo,Fungos,Sim,Alto
Café,59,188.8,Silte,Aspersão,Diária,24,Orgânico,Insetos,Não,Baixo
Trigo,70,259.0,Silte,Aspersão,Semanal,24,Nitrogênio,Nenhuma,Sim,Médio
Café,80,368.0,Argila,Aspersão,Mensal,31,Orgânico,Nenhuma,Sim,Alto
Café,93,241.8,Argila,Gotejamento,Semanal,18,Fósforo,Insetos,Sim,Médio
Arroz,3,8.7,Areia,Sulcos,Mensal,19,Composto,Ferrugem,Não,Alto
Milho,20,62.0,Areia,Gotejamento,Diária,18,Nitrogênio,Nenhuma,Sim,Baixo
Trigo,59,283.2,Areia,Sulcos,Diária,35,Composto,Ferrugem,Não,Alto
Arroz,36,93.60000000000001,Argila,Sulcos,Semanal,20,Fósforo,Insetos,Não,Baixo
Soja,19,62.699999999999996,Areia,Aspersão,Diária,18,Composto,Nenhuma,Sim,Médio
Soja,90,297.0,Argila,Sulcos,Mensal,26,Composto,Ferrugem,Não,Médio
Trigo,67,221.1,Argila,Gotejamento,Mensal,28,Nitrogênio,Insetos,Não,Baixo
Soja,19,58.9,Areia,Gotejamento,Diária,23,Fósforo,Fungos,Não,Baixo
Café,20,64.0,Silte,Sulcos,Mensal,22,Orgânico,Nenhuma,Sim,Baixo
Trigo,96,384.0,Argila,Gotejamento,Semanal,29,Composto,Fungos,Sim,Alto
Soja,71,305.3,Argila,Sulcos,Diária,30,Nitrogênio,Nenhuma,Sim,Baixo
Trigo,52,192.4,Argila,Aspersão,Mensal,32,Nitrogênio,Fungos,Sim,Baixo
Arroz,33,89.10000000000001,Silte,Sulcos,Mensal,20,Orgânico,Insetos,Não,Médio
Milho,40,132.0,Argila,Aspersão,Mensal,26,Composto,Ferrugem,Não,Médio
Soja,39,144.3,Silte,Gotejamento,Diária,24,Nitrogênio,Insetos,Não,Alto
Milho,82,319.8,Areia,Aspersão,Diária,26,Fósforo,Fungos,Sim,Alto
Café,1,3.5,Argila,Aspersão,Diária,22,Orgânico,Nenhuma,Não,Baixo
Arroz,11,26.4,Areia,Aspersão,Semanal,18,Nitrogênio,Insetos,Sim,Baixo
Café,92,404.8,Argila,Sulcos,Semanal,33,Orgânico,Nenhuma,Sim,Baixo
Soja,57,245.1,Areia,Aspersão,Diária,35,Composto,Ferrugem,Sim,Baixo
Arroz,89,338.2,Silte,Sulcos,Diária,28,Composto,Ferrugem,Não,Médio
Café,50,229.99999999999997,Argila,Gotejamento,Mensal,31,Composto,Nenhuma,Não,Alto
Trigo,23,69.0,Argila,Gotejamento,Semanal,24,Fósforo,Fungos,Não,Baixo
Trigo,31,105.39999999999999,Silte,Gotejamento,Diária,24,Nitrogênio,Insetos,Sim,Médio
Café,94,357.2,Areia,Aspersão,Semanal,27,Orgânico,Ferrugem,Sim,Alto
Arroz,42,189.0,Argila,Gotejamento,Diária,35,Composto,Fungos,Não,Médio
Soja,99,287.09999999999997,Silte,Aspersão,Mensal,19,Nitrogênio,Nenhuma,Sim,Baixo
Trigo,7,34.300000000000004,Areia,Sulcos,Diária,31,Nitrogênio,Nenhuma,Não,Alto
Soja,16,49.6,Areia,Sulcos,Mensal,24,Composto,Insetos,Não,Médio
Trigo,90,360.0,Silte,Aspersão,Diária,27,Composto,Fungos,Não,Alto
Café,60,204.00000000000003,Silte,Aspersão,Semanal,21,Fósforo,Nenhuma,Não,Médio
Arroz,2,7.6,Argila,Aspersão,Semanal,32,Fósforo,Fungos,Sim,Baixo
Arroz,1,4.4,Argila,Aspersão,Diária,29,Composto,Nenhuma,Não,Médio
Arroz,48,192.0,Silte,Sulcos,Semanal,29,Orgânico,Insetos,Não,Alto
Café,12,43.2,Silte,Gotejamento,Mensal,26,Orgânico,Ferrugem,Sim,Alto
Café,69,269.09999999999997,Areia,Aspersão,Diária,31,Nitrogênio,Ferrugem,Sim,Baixo
Arroz,37,122.10000000000001,Areia,Aspersão,Mensal,21,Composto,Nenhuma,Sim,Médio
Arroz,32,105.60000000000001,Areia,Sulcos,Semanal,20,Nitrogênio,Nenhuma,Sim,Médio
Milho,9,27.900000000000002,Silte,Sulcos,Diária,18,Fósforo,Fungos,Não,Alto
Soja,99,336.59999999999997,Argila,Gotejamento,Diária,24,Composto,Ferrugem,Não,Médio
Café,19,81.7,Argila,Aspersão,Semanal,27,Orgânico,Nenhuma,Sim,Alto
Arroz,48,187.2,Silte,Sulcos,Mensal,27,Nitrogênio,Nenhuma,Não,Médio
Milho,80,304.0,Areia,Sulcos,Mensal,26,Fósforo,Nenhuma,Sim,Médio
Café,3,9.9,Argila,Sulcos,Semanal,27,Fósforo,Insetos,Sim,Baixo
Café,20,74.0,Areia,Gotejamento,Mensal,22,Nitrogênio,Nenhuma,Não,Alto
Milho,24,64.80000000000001,Argila,Sulcos,Mensal,20,Composto,Insetos,Sim,Médio
Café,54,178.20000000000002,Silte,Sulcos,Mensal,26,Composto,Insetos,Sim,Médio
Soja,33,125.39999999999999,Argila,Aspersão,Mensal,33,Orgânico,Fungos,Sim,Baixo
Soja,24,98.4,Argila,Sulcos,Diária,26,Nitrogênio,Nenhuma,Não,Médio
Milho,75,247.5,Silte,Sulcos,Diária,23,Orgânico,Fungos,Não,Médio
Milho,72,309.59999999999997,Areia,Gotejamento,Diária,30,Fósforo,Insetos,Sim,Alto
Soja,36,147.6,Areia,Aspersão,Diária,33,Nitrogênio,Ferrugem,Não,Baixo
Soja,38,98.8,Argila,Gotejamento,Diária,18,Orgânico,Insetos,Não,Baixo
Trigo,84,327.59999999999997,Areia,Sulcos,Semanal,28,Fósforo,Ferrugem,Não,Alto
Milho,99,356.40000000000003,Argila,Sulcos,Diária,28,Nitrogênio,Fungos,Sim,Baixo
Arroz,89,338.2,Silte,Aspersão,Semanal,27,Composto,Ferrugem,Não,Alto
Café,99,465.3,Argila,Gotejamento,Diária,32,Nitrogênio,Nenhuma,Não,Médio
Soja,25,122.50000000000001,Silte,Aspersão,Semanal,33,Composto,Nenhuma,Sim,Alto
Arroz,93,381.29999999999995,Argila,Sulcos,Diária,31,Composto,Insetos,Sim,Médio
Arroz,18,88.2,Areia,Aspersão,Semanal,33,Composto,Nenhuma,Sim,Alto
Trigo,82,352.59999999999997,Argila,Aspersão,Semanal,30,Orgânico,Nenhuma,Não,Médio
Milho,66,217.79999999999998,Areia,Sulcos,Diária,20,Nitrogênio,Nenhuma,Sim,Baixo
Soja,54,237.60000000000002,Silte,Gotejamento,Diária,31,Fósforo,Ferrugem,Sim,Alto
Trigo,35,115.50000000000001,Areia,Sulcos,Semanal,27,Nitrogênio,Fungos,Sim,Baixo
Arroz,80,272.0,Silte,Aspersão,Diária,24,Composto,Insetos,Não,Médio
Arroz,61,189.1,Areia,Gotejamento,Semanal,20,Nitrogênio,Fungos,Não,Alto
Trigo,41,139.4,Argila,Aspersão,Semanal,18,Fósforo,Nenhuma,Não,Alto
Arroz,33,118.8,Areia,Gotejamento,Diária,26,Composto,Fungos,Sim,Médio
Trigo,68,170.0,Silte,Sulcos,Mensal,20,Orgânico,Fungos,Sim,Baixo
Trigo,33,92.39999999999999,Silte,Aspersão,Mensal,23,Fósforo,Insetos,Não,Baixo
Café,14,40.6,Silte,Gotejamento,Diária,21,Orgânico,Insetos,Não,Baixo
Trigo,21,96.6,Silte,Gotejamento,Diária,33,Composto,Nenhuma,Sim,Baixo
Soja,48,148.8,Areia,Sulcos,Mensal,26,Nitrogênio,Insetos,Não,Baixo
Trigo,20,66.0,Areia,Aspersão,Diária,20,Orgânico,Fungos,Não,Alto
Milho,8,20.0,Silte,Sulcos,Mensal,20,Composto,Ferrugem,Não,Baixo
Soja,7,18.900000000000002,Areia,Gotejamento,Semanal,21,Fósforo,Fungos,Não,Baixo
Trigo,67,207.70000000000002,Silte,Sulcos,Diária,21,Orgânico,Fungos,Sim,Médio
Trigo,17,54.400000000000006,Argila,Gotejamento,Diária,24,Nitrogênio,Fungos,Sim,Baixo
Arroz,33,115.5,Areia,Aspersão,Mensal,25,Composto,Fungos,Não,Alto
Milho,48,148.8,Areia,Gotejamento,Mensal,24,Fósforo,Ferrugem,Sim,Médio
Soja,76,311.59999999999997,Areia,Aspersão,Semanal,33,Composto,Ferrugem,Não,Médio
Arroz,59,182.9,Argila,Gotejamento,Mensal,19,Orgânico,Nenhuma,Sim,Médio
Milho,86,266.6,Silte,Sulcos,Mensal,24,Composto,Fungos,Não,Médio
Café,22,68.2,Argila,Aspersão,Diária,18,Composto,Nenhuma,Não,Baixo
Café,30,111.0,Areia,Sulcos,Semanal,31,Orgânico,Fungos,Sim,Baixo
Café,38,91.2,Argila,Gotejamento,Mensal,19,Fósforo,Fungos,Não,Baixo
Milho,51,214.20000000000002,Silte,Aspersão,Mensal,35,Fósforo,Insetos,Sim,Médio
Soja,54,221.39999999999998,Areia,Gotejamento,Mensal,26,Nitrogênio,Nenhuma,Não,Alto
Café,8,19.2,Areia,Gotejamento,Mensal,19,Composto,Ferrugem,Sim,Baixo
Milho,27,89.1,Areia,Aspersão,Mensal,23,Orgânico,Ferrugem,Sim,Alto
Arroz,27,91.8,Silte,Gotejamento,Mensal,29,Orgânico,Ferrugem,Não,Baixo
Milho,98,411.5999999999999,Areia,Sulcos,Semanal,26,Orgânico,Nenhuma,Sim,Alto
Arroz,21,79.8,Argila,Gotejamento,Semanal,27,Fósforo,Fungos,Não,Alto
Café,30,102.0,Silte,Sulcos,Semanal,23,Composto,Ferrugem,Não,Alto
Milho,97,368.59999999999997,Areia,Gotejamento,Semanal,30,Nitrogênio,Ferrugem,Sim,Médio
Trigo,28,78.4,Areia,Sulcos,Semanal,20,Nitrogênio,Fungos,Não,Médio
Milho,64,262.4,Silte,Aspersão,Mensal,26,Composto,Nenhuma,Sim,Alto
Soja,97,358.90000000000003,Areia,Aspersão,Semanal,26,Nitrogênio,Fungos,Não,Alto
Milho,69,227.70000000000002,Argila,Gotejamento,Semanal,25,Orgânico,Fungos,Não,Médio
Arroz,61,176.9,Areia,Aspersão,Mensal,19,Composto,Nenhuma,Sim,Baixo
Arroz,48,163.2,Silte,Sulcos,Mensal,19,Orgânico,Nenhuma,Não,Alto
Trigo,19,47.5,Areia,Gotejamento,Mensal,18,Orgânico,Insetos,Sim,Médio
Café,4,15.6,Silte,Gotejamento,Mensal,29,Fósforo,Ferrugem,Não,Alto
Arroz,35,108.5,Areia,Sulcos,Semanal,20,Nitrogênio,Ferrugem,Sim,Alto
Trigo,64,198.4,Areia,Sulcos,Diária,21,Orgânico,Insetos,Sim,Médio
Café,49,156.8,Silte,Gotejamento,Mensal,25,Composto,Insetos,Sim,Médio
Trigo,17,69.69999999999999,Areia,Gotejamento,Semanal,30,Composto,Nenhuma,Não,Baixo
Café,44,127.6,Silte,Sulcos,Diária,19,Fósforo,Insetos,Sim,Médio
Soja,92,432.40000000000003,Areia,Sulcos,Diária,34,Fósforo,Insetos,Não,Alto
Café,30,117.0,Argila,Aspersão,Mensal,27,Composto,Nenhuma,Não,Médio
Soja,93,306.9,Areia,Sulcos,Mensal,23,Composto,Fungos,Sim,Alto
Arroz,46,161.0,Argila,Aspersão,Mensal,23,Nitrogênio,Nenhuma,Não,Médio
Milho,6,22.799999999999997,Areia,Gotejamento,Semanal,32,Composto,Fungos,Sim,Baixo
Trigo,99,425.7,Areia,Sulcos,Diária,30,Composto,Nenhuma,Sim,Baixo
Trigo,37,111.0,Areia,Sulcos,Semanal,19,Composto,Fungos,Sim,Alto
Trigo,24,69.6,Silte,Gotejamento,Diária,19,Nitrogênio,Ferrugem,Não,Médio
Arroz,93,297.6,Silte,Gotejamento,Semanal,21,Orgânico,Ferrugem,Sim,Alto
Arroz,46,151.8,Argila,Sulcos,Semanal,22,Fósforo,Fungos,Não,Alto
Soja,53,196.10000000000002,Silte,Gotejamento,Diária,24,Nitrogênio,Nenhuma,Sim,Baixo
Trigo,95,342.0,Argila,Aspersão,Diária,28,Composto,Fungos,Não,Baixo
Milho,99,267.3,Argila,Sulcos,Semanal,21,Nitrogênio,Ferrugem,Não,Baixo
Soja,60,210.0,Silte,Gotejamento,Mensal,30,Fósforo,Fungos,Não,Baixo
Trigo,97,329.8,Silte,Gotejamento,Diária,21,Orgânico,Ferrugem,Não,Alto
Milho,63,233.10000000000002,Silte,Sulcos,Mensal,30,Orgânico,Ferrugem,Não,Médio
Milho,85,306.0,Silte,Sulcos,Diária,23,Orgânico,Nenhuma,Não,Baixo
Milho,32,83.2,Silte,Gotejamento,Semanal,18,Fósforo,Ferrugem,Não,Médio
Arroz,87,269.7,Silte,Gotejamento,Diária,18,Fósforo,Fungos,Sim,Alto
Trigo,33,108.89999999999999,Silte,Aspersão,Diária,23,Fósforo,Insetos,Sim,Médio
Arroz,67,234.5,Areia,Gotejamento,Mensal,25,Orgânico,Nenhuma,Sim,Baixo
Milho,18,70.2,Areia,Gotejamento,Diária,29,Orgânico,Insetos,Não,Médio
Trigo,25,92.5,Silte,Aspersão,Mensal,32,Nitrogênio,Ferrugem,Sim,Baixo
Arroz,95,370.5,Argila,Gotejamento,Semanal,31,Nitrogênio,Insetos,Não,Médio
Trigo,54,286.2,Silte,Aspersão,Diária,35,Fósforo,Nenhuma,Sim,Alto
Café,58,139.2,Silte,Aspersão,Mensal,19,Fósforo,Fungos,Sim,Baixo
Arroz,67,214.4,Silte,Sulcos,Diária,22,Nitrogênio,Fungos,Não,Médio
Café,46,115.0,Argila,Gotejamento,Mensal,20,Nitrogênio,Insetos,Sim,Baixo
Arroz,24,91.19999999999999,Argila,Sulcos,Semanal,25,Composto,Nenhuma,Não,Médio
Arroz,32,131.2,Areia,Gotejamento,Diária,31,Orgânico,Insetos,Não,Médio
Trigo,47,235.0,Silte,Aspersão,Semanal,34,Orgânico,Nenhuma,Sim,Alto
Café,86,335.4,Silte,Sulcos,Diária,31,Composto,Fungos,Sim,Baixo
Soja,23,96.60000000000001,Silte,Gotejamento,Mensal,32,Composto,Ferrugem,Não,Alto
Café,66,224.4,Argila,Aspersão,Semanal,23,Nitrogênio,Nenhuma,Sim,Baixo
Trigo,27,129.6,Areia,Aspersão,Diária,35,Fósforo,Insetos,Sim,Alto
Café,2,6.6000000000000005,Silte,Gotejamento,Semanal,22,Composto,Insetos,Não,Alto
Arroz,90,251.99999999999997,Areia,Aspersão,Diária,20,Nitrogênio,Fungos,Não,Baixo
Café,17,66.3,Areia,Aspersão,Mensal,29,Composto,Ferrugem,Não,Alto
Soja,33,115.5,Silte,Aspersão,Mensal,28,Fósforo,Fungos,Sim,Médio
Café,9,27.900000000000002,Argila,Aspersão,Mensal,24,Orgânico,Ferrugem,Não,Médio
Milho,43,159.1,Silte,Sulcos,Diária,29,Orgânico,Insetos,Não,Baixo
Milho,48,240.0,Areia,Sulcos,Diária,35,Nitrogênio,Nenhuma,Sim,Médio
Soja,39,132.6,Silte,Sulcos,Diária,19,Nitrogênio,Nenhuma,Sim,Médio
Trigo,93,362.7,Argila,Gotejamento,Semanal,33,Nitrogênio,Insetos,Não,Baixo
Soja,42,176.4,Areia,Gotejamento,Semanal,34,Fósforo,Ferrugem,Não,Médio
Trigo,26,98.8,Silte,Sulcos,Diária,30,Fósforo,Fungos,Sim,Baixo
Soja,99,356.40000000000003,Areia,Gotejamento,Diária,18,Composto,Nenhuma,Não,Alto
Soja,50,210.0,Areia,Aspersão,Mensal,32,Composto,Nenhuma,Não,Baixo
Milho,25,77.5,Silte,Aspersão,Mensal,24,Fósforo,Ferrugem,Sim,Médio
Arroz,24,74.4,Silte,Gotejamento,Diária,18,Orgânico,Fungos,Sim,Alto
Arroz,13,46.800000000000004,Argila,Sulcos,Diária,26,Nitrogênio,Fungos,Sim,Médio
Milho,60,210.0,Silte,Gotejamento,Diária,25,Orgânico,Fungos,Sim,Médio
Milho,7,27.3,Argila,Aspersão,Mensal,32,Fósforo,Fungos,Sim,Médio
Trigo,57,193.79999999999998,Areia,Sulcos,Diária,21,Fósforo,Nenhuma,Sim,Baixo
Arroz,36,115.2,Argila,Aspersão,Diária,24,Composto,Insetos,Não,Baixo
Milho,45,193.5,Areia,Sulcos,Diária,33,Fósforo,Insetos,Sim,Médio
Café,20,64.0,Argila,Sulcos,Diária,19,Fósforo,Insetos,Sim,Alto
Arroz,65,221.0,Areia,Sulcos,Diária,21,Nitrogênio,Insetos,Não,Alto
Milho,8,32.0,Silte,Sulcos,Mensal,33,Orgânico,Insetos,Não,Médio
Milho,16,57.6,Argila,Aspersão,Diária,28,Nitrogênio,Fungos,Não,Baixo
Arroz,14,53.199999999999996,Argila,Gotejamento,Mensal,23,Nitrogênio,Nenhuma,Sim,Alto
Café,76,228.0,Argila,Aspersão,Mensal,18,Composto,Nenhuma,Sim,Médio
Arroz,87,382.8,Silte,Sulcos,Mensal,34,Orgânico,Ferrugem,Não,Alto
Soja,15,64.5,Silte,Sulcos,Diária,30,Composto,Insetos,Não,Alto
Arroz,92,368.0,Argila,Gotejamento,Diária,30,Fósforo,Insetos,Não,Médio
Milho,98,401.79999999999995,Areia,Gotejamento,Mensal,29,Fósforo,Nenhuma,Não,Médio
Milho,66,290.40000000000003,Argila,Sulcos,Semanal,31,Nitrogênio,Nenhuma,Sim,Médio
Milho,32,140.8,Silte,Gotejamento,Diária,34,Nitrogênio,Fungos,Não,Médio
Arroz,87,408.90000000000003,Silte,Aspersão,Diária,34,Composto,Insetos,Sim,Alto
Arroz,63,258.29999999999995,Silte,Sulcos,Diária,31,Orgânico,Ferrugem,Não,Médio
Café,86,352.59999999999997,Silte,Sulcos,Semanal,33,Orgânico,Ferrugem,Não,Médio
Milho,51,224.4,Areia,Gotejamento,Semanal,33,Composto,Nenhuma,Não,Baixo
Café,25,102.49999999999999,Silte,Gotejamento,Semanal,25,Orgânico,Nenhuma,Sim,Alto
Trigo,58,203.0,Silte,Gotejamento,Mensal,28,Composto,Insetos,Não,Médio
Café,63,207.9,Argila,Gotejamento,Semanal,22,Nitrogênio,Insetos,Sim,Alto
Soja,62,204.60000000000002,Argila,Aspersão,Semanal,25,Fósforo,Fungos,Não,Médio
Arroz,22,96.80000000000001,Argila,Aspersão,Diária,34,Nitrogênio,Ferrugem,Sim,Médio
Trigo,58,150.8,Silte,Sulcos,Semanal,18,Nitrogênio,Ferrugem,Sim,Médio
Milho,58,232.0,Argila,Sulcos,Mensal,33,Composto,Fungos,Sim,Médio
Café,86,266.6,Areia,Gotejamento,Mensal,24,Orgânico,Fungos,Não,Médio
Trigo,49,156.8,Argila,Sulcos,Diária,24,Fósforo,Ferrugem,Sim,Baixo
Arroz,52,187.20000000000002,Areia,Aspersão,Mensal,26,Composto,Fungos,Sim,Alto
Café,42,184.8,Argila,Gotejamento,Semanal,28,Orgânico,Nenhuma,Não,Alto
Arroz,70,210.0,Silte,Sulcos,Semanal,19,Nitrogênio,Insetos,Não,Alto
Soja,15,61.49999999999999,Argila,Aspersão,Semanal,33,Composto,Insetos,Sim,Médio
Milho,54,243.0,Areia,Aspersão,Mensal,35,Composto,Fungos,Não,Alto
Soja,60,156.0,Argila,Sulcos,Mensal,21,Orgânico,Fungos,Não,Baixo
Café,97,329.8,Areia,Aspersão,Mensal,29,Fósforo,Ferrugem,Sim,Baixo
Milho,8,26.4,Silte,Sulcos,Diária,18,Orgânico,Nenhuma,Sim,Médio
Milho,53,254.39999999999998,Argila,Gotejamento,Mensal,33,Orgânico,Nenhuma,Sim,Alto
Trigo,60,204.00000000000003,Silte,Sulcos,Mensal,27,Orgânico,Insetos,Não,Médio
Milho,5,18.5,Argila,Aspersão,Diária,29,Fósforo,Fungos,Não,Baixo
Café,68,244.8,Areia,Sulcos,Diária,26,Nitrogênio,Fungos,Sim,Médio
Soja,6,27.6,Areia,Gotejamento,Mensal,34,Nitrogênio,Nenhuma,Sim,Médio
Trigo,96,336.0,Silte,Sulcos,Mensal,25,Composto,Insetos,Sim,Alto
Café,94,291.40000000000003,Areia,Aspersão,Mensal,26,Composto,Insetos,Sim,Baixo
Café,47,235.0,Argila,Gotejamento,Diária,32,Orgânico,Nenhuma,Sim,Alto
Milho,99,445.5,Argila,Gotejamento,Semanal,34,Orgânico,Insetos,Não,Alto
Milho,55,247.5,Areia,Gotejamento,Mensal,35,Fósforo,Fungos,Não,Alto
Trigo,40,168.0,Silte,Aspersão,Diária,24,Orgânico,Nenhuma,Sim,Alto
Trigo,52,176.79999999999998,Silte,Sulcos,Diária,24,Nitrogênio,Insetos,Sim,Médio
Trigo,16,78.4,Areia,Aspersão,Diária,31,Composto,Nenhuma,Sim,Alto
Milho,13,33.800000000000004,Silte,Gotejamento,Mensal,19,Nitrogênio,Fungos,Não,Médio
Soja,30,117.0,Argila,Gotejamento,Diária,31,Nitrogênio,Insetos,Não,Baixo
Café,19,72.2,Argila,Sulcos,Diária,30,Nitrogênio,Insetos,Não,Baixo
Trigo,17,49.3,Silte,Sulcos,Diária,19,Nitrogênio,Insetos,Sim,Médio
Café,63,252.0,Argila,Sulcos,Mensal,33,Fósforo,Fungos,Não,Médio
Soja,19,66.5,Argila,Sulcos,Semanal,24,Nitrogênio,Ferrugem,Não,Alto
Soja,92,377.2,Areia,Aspersão,Diária,31,Nitrogênio,Ferrugem,Não,Médio
Soja,58,278.4,Argila,Gotejamento,Diária,35,Orgânico,Fungos,Sim,Alto
Arroz,55,236.5,Argila,Gotejamento,Semanal,32,Composto,Fungos,Não,Alto
Trigo,90,432.0,Areia,Aspersão,Semanal,32,Fósforo,Nenhuma,Sim,Alto
Milho,90,234.0,Argila,Sulcos,Semanal,20,Nitrogênio,Fungos,Não,Baixo
Soja,62,229.4,Argila,Aspersão,Diária,27,Composto,Insetos,Não,Médio
Arroz,23,82.8,Silte,Aspersão,Diária,28,Fósforo,Insetos,Sim,Baixo
Arroz,9,32.4,Argila,Aspersão,Semanal,30,Composto,Ferrugem,Não,Baixo
Trigo,12,51.599999999999994,Argila,Sulcos,Semanal,32,Fósforo,Insetos,Não,Alto
Arroz,1,4.3,Silte,Gotejamento,Semanal,35,Nitrogênio,Ferrugem,Sim,Médio
Milho,58,214.60000000000002,Areia,Sulcos,Semanal,26,Composto,Insetos,Não,Alto
Arroz,1,4.0,Silte,Gotejamento,Semanal,24,Orgânico,Nenhuma,Sim,Alto
Soja,34,156.39999999999998,Areia,Gotejamento,Diária,31,Fósforo,Nenhuma,Sim,Médio
Café,96,268.79999999999995,Silte,Sulcos,Mensal,18,Fósforo,Ferrugem,Não,Alto
Soja,48,172.8,Argila,Gotejamento,Semanal,25,Composto,Nenhuma,Sim,Baixo
Milho,89,320.40000000000003,Silte,Aspersão,Semanal,28,Nitrogênio,Ferrugem,Não,Médio
Trigo,1,4.0,Areia,Gotejamento,Semanal,32,Orgânico,Ferrugem,Sim,Médio
Soja,16,67.2,Silte,Sulcos,Diária,34,Fósforo,Insetos,Sim,Baixo
Arroz,61,225.70000000000002,Silte,Aspersão,Diária,29,Nitrogênio,Ferrugem,Não,Baixo
Soja,64,262.4,Silte,Aspersão,Diária,33,Orgânico,Insetos,Não,Baixo
Arroz,63,252.0,Argila,Gotejamento,Semanal,32,Fósforo,Ferrugem,Sim,Médio
Café,69,213.9,Argila,Aspersão,Diária,21,Orgânico,Fungos,Não,Médio
Soja,22,85.8,Areia,Sulcos,Mensal,27,Orgânico,Nenhuma,Não,Médio
Café,93,316.2,Argila,Gotejamento,Mensal,24,Nitrogênio,Ferrugem,Não,Alto
Soja,67,294.8,Silte,Sulcos,Mensal,34,Orgânico,Insetos,Não,Alto
Arroz,76,212.79999999999998,Areia,Aspersão,Mensal,23,Composto,Fungos,Sim,Baixo
Milho,26,109.2,Silte,Gotejamento,Diária,32,Fósforo,Fungos,Não,Médio
Arroz,16,44.8,Areia,Aspersão,Mensal,18,Composto,Ferrugem,Não,Alto
